tau,T,success_rate
545559.4781168514,1.0e7,0.0
1.0e6,1000.0,0.0
1.0e6,1623.7767391887226,0.0
1.0e6,2636.650898730358,0.0
1.0e6,4281.332398719395,0.0
1.0e6,6951.927961775606,0.0
1.0e6,11288.378916846883,0.0
1.0e6,18329.807108324374,0.0
1.0e6,29763.51441631319,0.0
1.0e6,48329.30238571752,0.0
1.0e6,78475.99703514607,0.0
1.0e6,127427.49857031347,0.0
1.0e6,206913.808111479,0.0
1.0e6,335981.8286283781,0.0
1.0e6,545559.4781168514,0.0
1.0e6,885866.7904100833,0.0
1.0e6,1.438449888287663e6,0.0
1.0e6,2.3357214690901213e6,0.0
1.0e6,3.792690190732246e6,0.0
1.0e6,6.158482110660267e6,0.0
1.0e6,1.0e7,0.0
